Country name
Energy Consumption (kcal/person/day) – 1990-92
Energy Consumption (kcal/person/day) - 1995-97
Energy Consumption (kcal/person/day) – 2000-02
Energy Consumption (kcal/person/day) – 2005-07
Albania	2,560	2,850	2,850	2,900
Algeria	2,890	2,880	2,990	3,110
Angola	1,580	1,660	1,790	1,950
Antigua and Barbuda	2,510	2,180	2,110	2,320
Argentina	3,010	3,160	3,140	3,000
Armenia	1,920	2,030	2,140	2,250
Australia	3,130	3,080	3,050	3,190
Austria	3,540	3,610	3,790	3,760
Azerbaijan	2,160	2,170	2,510	3,000
Bahamas	2,610	2,560	2,700	2,700
Bangladesh	1,960	1,930	2,170	2,250
Barbados	3,040	3,010	3,050	3,050
Belarus	3,180	3,240	3,000	3,090
Belgium	0	0	3,720	3,690
Belize	2,510	2,500	2,610	2,720
Benin	2,250	2,320	2,410	2,510
Bermuda	2,870	2,860	2,620	2,540
Bolivia (Plurinational State of)	2,030	2,100	2,160	2,090
Bosnia and Herzegovina	2,670	2,880	2,820	3,080
Botswana	2,260	2,220	2,180	2,240
Brazil	2,760	2,840	2,900	3,100
Brunei Darussalam	2,730	2,850	2,910	2,990
Bulgaria	3,070	2,770	2,790	2,760
Burkina Faso	2,460	2,530	2,530	2,670
Burundi	1,860	1,710	1,680	1,680
Cambodia	1,870	1,850	2,070	2,250
Cameroon	2,020	2,020	2,160	2,260
Canada	3,050	3,280	3,520	3,530
Cape Verde	2,370	2,360	2,350	2,550
Central African Republic	1,880	1,850	1,910	1,960
Chad	1,700	1,790	1,940	2,040
Chile	2,600	2,740	2,840	2,960
China	2,580	2,840	2,920	2,970
Colombia	2,410	2,580	2,650	2,660
Comoros	1,900	1,810	1,750	1,860
Congo	1,970	1,980	2,370	2,510
Costa Rica	2,820	2,750	2,820	2,810
Côte d'Ivoire	2,470	2,430	2,440	2,510
Croatia	2,420	2,540	2,670	2,990
Cuba	2,720	2,450	3,110	3,300
Cyprus	3,120	3,230	3,200	3,200
Czech Republic	3,080	3,250	3,160	3,320
Democratic People's Republic of Korea	2,340	2,160	2,120	2,150
Democratic Republic of the Congo	2,170	1,740	1,560	1,590
Denmark	3,220	3,340	3,370	3,400
Djibouti	1,720	1,860	2,030	2,260
Dominica	3,000	2,980	3,090	3,110
Dominican Republic	2,160	2,200	2,240	2,260
Ecuador	2,110	2,250	2,240	2,300
Egypt	3,090	3,210	3,230	3,160
El Salvador	2,400	2,430	2,630	2,590
Eritrea	1,530	1,570	1,520	1,590
Estonia	2,750	2,990	3,040	3,130
Ethiopia	1,550	1,650	1,840	1,950
Fiji	2,640	2,770	2,930	3,030
Finland	3,150	3,060	3,160	3,220
France	3,530	3,530	3,640	3,550
French Polynesia	2,480	2,700	2,850	2,920
Gabon	2,520	2,600	2,660	2,730
Gambia	2,470	2,240	2,280	2,350
Georgia	1,850	2,320	2,500	2,810
Germany	3,390	3,350	3,480	3,530
Ghana	2,120	2,480	2,630	2,850
Greece	3,560	3,510	3,660	3,700
Grenada	2,470	2,390	2,300	2,420
Guatemala	2,290	2,170	2,140	2,170
Guinea	2,420	2,440	2,440	2,530
Guinea-Bissau	2,290	2,210	2,220	2,290
Guyana	2,300	2,570	2,780	2,750
Haiti	1,730	1,780	1,900	1,850
Honduras	2,300	2,410	2,510	2,600
Hungary	3,600	3,270	3,390	3,440
Iceland	3,090	3,080	3,170	3,330
